S,K,T,r,proxy_sigma,price
737.5499877929688,680.0,0.0027378507871321013,0.045,0.12936618235657077,54.605000000000004
737.5499877929688,685.0,0.0027378507871321013,0.045,0.12936618235657077,49.629999999999995
737.5499877929688,700.0,0.0027378507871321013,0.045,0.12936618235657077,35.114999999999995
737.5499877929688,701.0,0.0027378507871321013,0.045,0.12936618235657077,34.144999999999996
737.5499877929688,702.0,0.0027378507871321013,0.045,0.12936618235657077,33.144999999999996
737.5499877929688,703.0,0.0027378507871321013,0.045,0.12936618235657077,32.155
737.5499877929688,705.0,0.0027378507871321013,0.045,0.12936618235657077,30.195
737.5499877929688,709.0,0.0027378507871321013,0.045,0.12936618235657077,26.275
737.5499877929688,712.0,0.0027378507871321013,0.045,0.12936618235657077,23.354999999999997
737.5499877929688,718.0,0.0027378507871321013,0.045,0.12936618235657077,17.445
737.5499877929688,720.0,0.0027378507871321013,0.045,0.12936618235657077,15.594999999999999
737.5499877929688,722.0,0.0027378507871321013,0.045,0.12936618235657077,13.785
737.5499877929688,725.0,0.0027378507871321013,0.045,0.12936618235657077,11.165
737.5499877929688,726.0,0.0027378507871321013,0.045,0.12936618235657077,10.325
737.5499877929688,727.0,0.0027378507871321013,0.045,0.12936618235657077,9.5
737.5499877929688,728.0,0.0027378507871321013,0.045,0.12936618235657077,8.715
737.5499877929688,729.0,0.0027378507871321013,0.045,0.12936618235657077,7.945
737.5499877929688,730.0,0.0027378507871321013,0.045,0.12936618235657077,7.1850000000000005
737.5499877929688,732.0,0.0027378507871321013,0.045,0.12936618235657077,5.79
737.5499877929688,733.0,0.0027378507871321013,0.045,0.12936618235657077,5.135
737.5499877929688,734.0,0.0027378507871321013,0.045,0.12936618235657077,4.51
737.5499877929688,735.0,0.0027378507871321013,0.045,0.12936618235657077,3.925
737.5499877929688,736.0,0.0027378507871321013,0.045,0.12936618235657077,3.385
737.5499877929688,737.0,0.0027378507871321013,0.045,0.12936618235657077,2.885
737.5499877929688,738.0,0.0027378507871321013,0.045,0.12936618235657077,2.43
737.5499877929688,739.0,0.0027378507871321013,0.045,0.12936618235657077,2.02
737.5499877929688,740.0,0.0027378507871321013,0.045,0.12936618235657077,1.665
737.5499877929688,741.0,0.0027378507871321013,0.045,0.12936618235657077,1.3450000000000002
737.5499877929688,742.0,0.0027378507871321013,0.045,0.12936618235657077,1.08
737.5499877929688,743.0,0.0027378507871321013,0.045,0.12936618235657077,0.86
737.5499877929688,744.0,0.0027378507871321013,0.045,0.12936618235657077,0.67
737.5499877929688,745.0,0.0027378507871321013,0.045,0.12936618235657077,0.525
737.5499877929688,746.0,0.0027378507871321013,0.045,0.12936618235657077,0.415
737.5499877929688,747.0,0.0027378507871321013,0.045,0.12936618235657077,0.315
737.5499877929688,748.0,0.0027378507871321013,0.045,0.12936618235657077,0.25
737.5499877929688,749.0,0.0027378507871321013,0.045,0.12936618235657077,0.195
737.5499877929688,750.0,0.0027378507871321013,0.045,0.12936618235657077,0.155
737.5499877929688,751.0,0.0027378507871321013,0.045,0.12936618235657077,0.12
737.5499877929688,752.0,0.0027378507871321013,0.045,0.12936618235657077,0.095
737.5499877929688,753.0,0.0027378507871321013,0.045,0.12936618235657077,0.07500000000000001
737.5499877929688,754.0,0.0027378507871321013,0.045,0.12936618235657077,0.065
737.5499877929688,755.0,0.0027378507871321013,0.045,0.12936618235657077,0.055
737.5499877929688,756.0,0.0027378507871321013,0.045,0.12936618235657077,0.045
737.5499877929688,757.0,0.0027378507871321013,0.045,0.12936618235657077,0.035
737.5499877929688,758.0,0.0027378507871321013,0.045,0.12936618235657077,0.035
737.5499877929688,759.0,0.0027378507871321013,0.045,0.12936618235657077,0.035
737.5499877929688,760.0,0.0027378507871321013,0.045,0.12936618235657077,0.025
737.5499877929688,761.0,0.0027378507871321013,0.045,0.12936618235657077,0.025
737.5499877929688,762.0,0.0027378507871321013,0.045,0.12936618235657077,0.025
737.5499877929688,763.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,764.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,765.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,766.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,767.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,768.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,769.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,770.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,771.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,772.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,773.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,774.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,775.0,0.0027378507871321013,0.045,0.12936618235657077,0.015
737.5499877929688,776.0,0.0027378507871321013,0.045,0.12936618235657077,0.02
737.5499877929688,777.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,778.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,779.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,780.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,781.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,782.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,783.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,784.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,785.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,786.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,787.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,788.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,789.0,0.0027378507871321013,0.045,0.12936618235657077,0.02
737.5499877929688,790.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,792.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,794.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,795.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,796.0,0.0027378507871321013,0.045,0.12936618235657077,0.02
737.5499877929688,799.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,800.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,805.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,810.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,820.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,825.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,830.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,835.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,840.0,0.0027378507871321013,0.045,0.12936618235657077,0.01
737.5499877929688,680.0,0.0054757015742642025,0.045,0.12936618235657077,54.84
737.5499877929688,700.0,0.0054757015742642025,0.045,0.12936618235657077,35.215
737.5499877929688,702.0,0.0054757015742642025,0.045,0.12936618235657077,33.260000000000005
737.5499877929688,705.0,0.0054757015742642025,0.045,0.12936618235657077,30.36
737.5499877929688,718.0,0.0054757015742642025,0.045,0.12936618235657077,18.175
737.5499877929688,720.0,0.0054757015742642025,0.045,0.12936618235657077,16.36
737.5499877929688,721.0,0.0054757015742642025,0.045,0.12936618235657077,15.525
737.5499877929688,723.0,0.0054757015742642025,0.045,0.12936618235657077,13.82
737.5499877929688,727.0,0.0054757015742642025,0.045,0.12936618235657077,10.6
737.5499877929688,728.0,0.0054757015742642025,0.045,0.12936618235657077,9.855
737.5499877929688,731.0,0.0054757015742642025,0.045,0.12936618235657077,7.695
737.5499877929688,733.0,0.0054757015742642025,0.045,0.12936618235657077,6.385
737.5499877929688,735.0,0.0054757015742642025,0.045,0.12936618235657077,5.175
737.5499877929688,736.0,0.0054757015742642025,0.045,0.12936618235657077,4.625
737.5499877929688,737.0,0.0054757015742642025,0.045,0.12936618235657077,4.109999999999999
737.5499877929688,738.0,0.0054757015742642025,0.045,0.12936618235657077,3.625
737.5499877929688,739.0,0.0054757015742642025,0.045,0.12936618235657077,3.1799999999999997
737.5499877929688,740.0,0.0054757015742642025,0.045,0.12936618235657077,2.77
737.5499877929688,741.0,0.0054757015742642025,0.045,0.12936618235657077,2.4
737.5499877929688,742.0,0.0054757015742642025,0.045,0.12936618235657077,2.07
737.5499877929688,743.0,0.0054757015742642025,0.045,0.12936618235657077,1.77
737.5499877929688,744.0,0.0054757015742642025,0.045,0.12936618235657077,1.51
737.5499877929688,745.0,0.0054757015742642025,0.045,0.12936618235657077,1.28
737.5499877929688,746.0,0.0054757015742642025,0.045,0.12936618235657077,1.08
737.5499877929688,747.0,0.0054757015742642025,0.045,0.12936618235657077,0.91
737.5499877929688,748.0,0.0054757015742642025,0.045,0.12936618235657077,0.76
737.5499877929688,749.0,0.0054757015742642025,0.045,0.12936618235657077,0.635
737.5499877929688,750.0,0.0054757015742642025,0.045,0.12936618235657077,0.52
737.5499877929688,751.0,0.0054757015742642025,0.045,0.12936618235657077,0.43
737.5499877929688,752.0,0.0054757015742642025,0.045,0.12936618235657077,0.355
737.5499877929688,753.0,0.0054757015742642025,0.045,0.12936618235657077,0.28
737.5499877929688,754.0,0.0054757015742642025,0.045,0.12936618235657077,0.22999999999999998
737.5499877929688,755.0,0.0054757015742642025,0.045,0.12936618235657077,0.185
737.5499877929688,756.0,0.0054757015742642025,0.045,0.12936618235657077,0.15000000000000002
737.5499877929688,757.0,0.0054757015742642025,0.045,0.12936618235657077,0.12
737.5499877929688,758.0,0.0054757015742642025,0.045,0.12936618235657077,0.095
737.5499877929688,759.0,0.0054757015742642025,0.045,0.12936618235657077,0.07500000000000001
737.5499877929688,760.0,0.0054757015742642025,0.045,0.12936618235657077,0.065
737.5499877929688,761.0,0.0054757015742642025,0.045,0.12936618235657077,0.055
737.5499877929688,762.0,0.0054757015742642025,0.045,0.12936618235657077,0.045
737.5499877929688,763.0,0.0054757015742642025,0.045,0.12936618235657077,0.035
737.5499877929688,764.0,0.0054757015742642025,0.045,0.12936618235657077,0.035
737.5499877929688,765.0,0.0054757015742642025,0.045,0.12936618235657077,0.025
737.5499877929688,766.0,0.0054757015742642025,0.045,0.12936618235657077,0.025
737.5499877929688,767.0,0.0054757015742642025,0.045,0.12936618235657077,0.025
737.5499877929688,768.0,0.0054757015742642025,0.045,0.12936618235657077,0.02
737.5499877929688,769.0,0.0054757015742642025,0.045,0.12936618235657077,0.02
737.5499877929688,770.0,0.0054757015742642025,0.045,0.12936618235657077,0.02
737.5499877929688,771.0,0.0054757015742642025,0.045,0.12936618235657077,0.015
737.5499877929688,772.0,0.0054757015742642025,0.045,0.12936618235657077,0.015
737.5499877929688,773.0,0.0054757015742642025,0.045,0.12936618235657077,0.015
737.5499877929688,774.0,0.0054757015742642025,0.045,0.12936618235657077,0.015
