epoch,train_loss,data_loss,pde_loss,ic_loss,bc_loss,val_loss,lambda_pde
1,0.9431956678628921,0.3866759403347969,254.94858570797007,0.013011701851850375,0.042640271719545125,0.12107560682296753,0.0
2,0.12577999663352965,0.10164660793542862,28.304265518188476,0.00045742325636092575,0.0019559156205505132,0.09175444495677948,0.0
3,0.09794715055823326,0.08109927859902381,17.07409296417236,0.00035554638813482597,0.0013292408289853484,0.06253571021556854,0.0
4,0.07370655670762062,0.06392882207036019,17.6702273979187,0.00019196105323499068,0.0007858124192571267,0.07485393238067627,0.0
5,0.06599065372347832,0.057969603836536404,19.053765743255614,0.0001480253871413879,0.0006540795972105115,0.0511436981856823,0.0
6,0.06920583114027977,0.060182110935449604,17.343575704574587,0.00014242312737042085,0.0007599488614359871,0.056882177770137786,0.0
7,0.06207340693473816,0.05395560210943222,14.308673065185546,0.0001260421217302792,0.0006857383500318974,0.04566952013969421,0.0
8,0.05969779546558857,0.052501833483576774,10.736181804656983,9.994959365576505e-05,0.0006196466134861112,0.04940906238555908,0.0
9,0.062187539279460906,0.05321412144601345,8.553437826156616,0.00012678675408824347,0.0007705550084356219,0.041403460502624514,0.0
10,0.05709624755382538,0.05003901705145836,7.109967388153076,8.061721036210656e-05,0.0006251058357302099,0.053504079163074494,0.0
11,0.06371094053983688,0.05448926892876625,5.832963212013245,0.00012417338918021414,0.0007979937882628292,0.04595171105861664,0.0
12,0.05676001019775868,0.04974602445960045,5.413143546104431,7.384240960527677e-05,0.0006275561683578417,0.05150384068489075,0.0
13,0.07022305074334144,0.05922947376966477,4.63457262802124,0.00019069008952646982,0.0009086676125880331,0.08174654728174209,0.0
14,0.06633907762169838,0.05713608685135842,4.314944943428039,0.0001403929656080436,0.0007799060994293541,0.04404899063706398,0.0
15,0.06150403067469597,0.05413047094643116,4.091981729507446,0.00010381564455747138,0.0006335403471020982,0.06338444900512695,0.0
16,0.05776487974822521,0.049469084247946736,3.5314276542663574,8.704924673656933e-05,0.0007425303210038691,0.06453458201885223,0.0
17,0.05616976074874401,0.04918081529438496,3.32144420003891,6.843118777032942e-05,0.0006304633762920275,0.04428053879737854,0.0
18,0.05085133519768715,0.04475554431974888,3.0667065014839174,5.238980647845892e-05,0.0005571892719017341,0.04990061393380165,0.0
19,0.053662485867738724,0.04740629644691944,2.8196747970581053,6.152212547021917e-05,0.0005640968080842867,0.05622071385383606,0.0
20,0.05452812644839287,0.04849046646058559,2.635148139953613,5.6368473247857765e-05,0.0005473975092172622,0.04565692836046219,0.0
21,0.047506552785634995,0.041897941172122956,2.52354953289032,3.752990780776599e-05,0.0005233312685741111,0.04360458368062973,0.0
22,0.05565399874746799,0.0486081400513649,2.096048002719879,7.994410625542515e-05,0.0006246417529182509,0.03491109138727188,0.0
23,0.05149726998806,0.045072072252631185,2.026049322128296,5.026976489898516e-05,0.0005922500099986792,0.037053341329097746,0.0
24,0.05068369460105896,0.044303246021270754,1.9836469213962555,4.2933687203912994e-05,0.0005951111747417599,0.044555648684501646,0.0
25,0.048986526980996134,0.04301074077188969,1.915453003883362,4.820857915910892e-05,0.0005493700413499028,0.049144216775894166,0.0
26,0.057716116413474086,0.05008849911391735,1.823587302684784,7.953880115383072e-05,0.0006832229451974854,0.03598158410191536,0.0
27,0.05141094103455544,0.04524171452224254,1.8542658658027649,4.452369632781483e-05,0.0005723989435937255,0.03850193923711777,0.0
28,0.04919197641313076,0.04320293234288693,1.7405759220123291,4.606759564921958e-05,0.0005528368015657179,0.052462604641914365,0.0
29,0.053309053242206576,0.046283144101500515,1.6790504727363587,5.980881077266531e-05,0.0006427820940734818,0.04205680227279663,0.0
30,0.0509229583889246,0.044380837813019755,1.6847555484771728,4.893769027694361e-05,0.0006052743615582585,0.039515966296195984,0.0
31,0.05070436489582062,0.04428486859798431,1.7390497870445252,4.5887791173299777e-05,0.0005960618355311453,0.05127639052271843,0.0
32,0.048750239998102185,0.04250253045558929,1.6805685205459595,4.305963085789699e-05,0.0005817113224766217,0.05287446266412735,0.0
33,0.053855537414550785,0.04728121694922447,1.6774230463504791,5.460078318719752e-05,0.0006028312461567111,0.0615234140753746,0.0
34,0.055490682721138,0.04876420968770981,1.8578211817741395,7.757980240421603e-05,0.0005950675070052967,0.04139441204071045,0.0
35,0.04898498919606209,0.04279831744730472,1.7122706956863403,4.004238630295731e-05,0.0005786247798241675,0.03939927911758423,0.0
36,0.04611621131002903,0.040639085128903386,1.6460714712142945,2.6370551611762493e-05,0.0005213420609943569,0.04195630583167076,0.0
37,0.047665503174066544,0.04149187226593495,1.7170758495330811,3.5940117049904076e-05,0.0005814229421084746,0.051878428786993024,0.0
38,0.04617090713977814,0.0405619360357523,1.6542751665115356,2.5423362025321695e-05,0.0005354737404268235,0.035350319981575014,0.0
39,0.04608264981210232,0.0406258003115654,1.7257030003070832,2.5225840145139954e-05,0.000520459103747271,0.04047288617491722,0.0
40,0.047188500836491586,0.04146914373338222,1.6491026213169098,2.7218230276048415e-05,0.000544717479380779,0.0400630407333374,0.0
41,0.04548890349268913,0.03982763010263443,1.6400663375854492,2.446490037254989e-05,0.000541662429808639,0.03923607105016708,0.0
42,0.04994447395205498,0.043371023371815684,1.5086501815319062,4.6974943361419717e-05,0.0006103701080428436,0.04231132823228836,0.0
43,0.04913165411353111,0.04278741367161274,1.5773824965953827,4.279150232468965e-05,0.0005916325493017211,0.07038994109630585,0.0
44,0.052722587138414385,0.045705200225114824,1.5251475119590758,5.943007030873559e-05,0.0006423086150316522,0.043069046258926394,0.0
45,0.04587346076965332,0.040007518544793126,1.6226411602497102,2.594448495801771e-05,0.0005606497240951285,0.04773238930106163,0.0
46,0.04788335585594177,0.041853748068213466,1.559355647802353,3.264978802326368e-05,0.0005703109884634615,0.03874740099906921,0.0
47,0.04492493046820164,0.03932658733427524,1.5495086646080016,2.0833285885601073e-05,0.0005390010247938335,0.05067345833778381,0.0
48,0.04709483651816845,0.04134270767867565,1.6040410809516907,2.861136064530001e-05,0.0005466015288839117,0.05703962135314941,0.0
49,0.04810513430833817,0.042216926664114,1.6324285156726837,3.6489523383352204e-05,0.0005523312406148762,0.03910276168584824,0.0
50,0.046096336737275125,0.04035691139101982,1.607065038919449,2.5683431005745662e-05,0.0005482591073960066,0.03920425057411194,0.0
51,0.05722937969863415,0.03960895603895188,0.48135007804632185,2.68194277814473e-05,0.0007725227535702288,0.03665113842487335,0.02
52,0.05279728537797928,0.041655396297574046,0.11711324747651815,3.6703654750454006e-05,0.0006090322933159769,0.04013392922282219,0.04
53,0.050878617838025095,0.04134291540086269,0.054876267060637474,3.104753482330125e-05,0.0005932651201728731,0.034569826781749725,0.06
54,0.0527055377215147,0.04335252113640308,0.04014571087434888,4.1904288264049685e-05,0.0005722316985484212,0.044642251282930374,0.08
55,0.05117306759953499,0.039487858057022096,0.05611542706564069,2.8823562919569666e-05,0.0005785431084223092,0.0401724573969841,0.1
56,0.044909738957881924,0.03705167974531651,0.016370988193899393,1.5397767991089494e-05,0.0005739563056267798,0.03533313575387001,0.12
57,0.04655987103283405,0.04011018267273903,0.004727862167172134,2.5577967411663848e-05,0.0005532008110312745,0.04532964277267456,0.14
58,0.047656042650341984,0.0400382534712553,0.010917058252729475,2.7108223497634752e-05,0.0005599977639503777,0.03502146542072296,0.16
59,0.044639545887708666,0.03794193351268768,0.005263084431178868,1.901057010400109e-05,0.0005560151383979246,0.03920338103175163,0.18
60,0.051942680224776265,0.04110700319707394,0.023521239588037132,3.7764534790767354e-05,0.0005753783723339438,0.036914062052965164,0.2
61,0.051785684406757355,0.039927540853619575,0.025490242540836334,2.406491511646891e-05,0.000600964100449346,0.03641964942216873,0.22
62,0.04684973187744618,0.038801087081432345,0.00843377200793475,2.6429566994920606e-05,0.0005760243796976283,0.032524890154600146,0.24
63,0.04616228130459785,0.038257492661476135,0.007257481070235372,1.8355182884988606e-05,0.0005834291888168082,0.04153306794166565,0.26
64,0.04726442128419876,0.040319960951805116,0.0036601521293632686,2.759188941854518e-05,0.0005643698811763898,0.04073884260654449,0.28
65,0.045241566181182864,0.03688785769045353,0.00821187769016251,1.5840773288800846e-05,0.0005731737561291084,0.03769362127780914,0.3
66,0.052427638173103336,0.03927397331595421,0.020783785060979425,2.6523828510107705e-05,0.0006237615486606956,0.035122404038906097,0.32
67,0.04604583868384361,0.03731942255795002,0.008555284758564085,1.7598635960894172e-05,0.0005641632955521345,0.03565849974751473,0.34
68,0.04479147538542747,0.038067901782691475,0.00231095933355391,1.9802073777100305e-05,0.0005693607409484685,0.03343735647201538,0.36
69,0.04248208624124527,0.03623755325376987,0.0015528951173182576,1.4854409875624696e-05,0.0005505888944026083,0.03498227846622467,0.38
70,0.04215355591475964,0.03551068557798862,0.002630269949324429,1.1926727467653108e-05,0.0005471495112869889,0.0362241116464138,0.4
71,0.046436435729265216,0.03793189585208893,0.006233090111520141,1.9901690000551753e-05,0.0005687625027494505,0.0342571467757225,0.42
72,0.04420624934136867,0.037438789650797846,0.0016386569149326533,1.979579964245204e-05,0.0005848492621444165,0.03852788615226745,0.44
73,0.046000313386321066,0.038330332547426224,0.0038293515178374946,2.0355202479549916e-05,0.0005704927074257285,0.042503695100545885,0.46
74,0.04645216238498688,0.03813670264184475,0.004989471369422972,1.9970224111602875e-05,0.0005720811396604404,0.03614823889732361,0.48
75,0.04378918634355068,0.03726231266558171,0.0014057436417788268,1.901192519289907e-05,0.0005633882690453902,0.03579183566570282,0.5
76,0.04405030830204487,0.03707318657636643,0.0025854172490071504,1.6003343367628986e-05,0.0005472671309253201,0.03798789459466934,0.52
77,0.05036016115546226,0.03959442269802094,0.008534213213715702,2.498800887406105e-05,0.0005907382998266257,0.03754463964700699,0.54
78,0.04370546473562718,0.03588549694418907,0.003653460924513638,1.3676679940545e-05,0.0005637262695236131,0.032208988189697266,0.56
79,0.04274300830066204,0.035114418506622315,0.00325597705016844,1.1749987621442416e-05,0.0005622623427771031,0.045075715541839596,0.58
80,0.04988839155435562,0.03791243813931942,0.00956257730629295,1.9814406281511764e-05,0.0006040262506576255,0.038017440259456636,0.6
81,0.0449174603074789,0.03720983040332794,0.0031256448864005505,1.6642176520690556e-05,0.0005603308489080519,0.034987126141786576,0.62
82,0.04919321723282337,0.041850021854043004,0.0011130574346752838,4.166741889457626e-05,0.0006214164283592254,0.0374584926366806,0.64
83,0.045179388836026194,0.03765601631999016,0.0025896604221779854,2.1200522754952546e-05,0.0005602191508514807,0.03565665718913078,0.66
84,0.043911313027143475,0.036331997722387314,0.0027777101884130387,1.3674039371835534e-05,0.0005553732038242743,0.03339978483319282,0.68
85,0.045731831207871436,0.03801909926533699,0.0025575059677939863,2.1622603129799244e-05,0.0005706252077361569,0.03473256915807724,0.7
86,0.046720425471663475,0.03867259538173676,0.0030088701392523946,2.343186030702782e-05,0.0005647124897222966,0.03250093597173691,0.72
87,0.04715555219352245,0.03908530710637569,0.0027841248232871292,2.6736773492302746e-05,0.000574262477515731,0.03513459587097168,0.74
88,0.04227259449660778,0.03535775728523731,0.0016743387599708513,1.1277323101239745e-05,0.0005529566277982667,0.035816133677959446,0.76
89,0.043198445811867714,0.03680377759039402,0.000835495519451797,1.6515476718268475e-05,0.0005577826794469729,0.03670346575975418,0.78
90,0.04324419994652271,0.03623553390800953,0.00175251347059384,1.3495986369889579e-05,0.0005471695393789559,0.034614036321640014,0.8
91,0.045158728182315824,0.035237219229340554,0.005096889054635539,1.0164158640691312e-05,0.0005640418188413605,0.03292043802142143,0.82
92,0.043185665711760524,0.03612771834433079,0.0014828085005283355,1.3798396990750917e-05,0.000567440424230881,0.031329678982496265,0.84
93,0.04514413206279278,0.035864016875624655,0.003559307616436854,1.4464887488429667e-05,0.0006074461756506935,0.03326637476682663,0.86
94,0.041508164450526235,0.03495622918754816,0.0010423562115756794,1.1309238128887954e-05,0.000552156958496198,0.04443440419435501,0.88
95,0.04475735731422901,0.03648664353787899,0.0025479122006800024,1.5490450528886867e-05,0.0005822688294574619,0.03301992455124855,0.9
96,0.04144335316121578,0.0349288973659277,0.0010441835831152275,9.148044218818541e-06,0.0005462326584383846,0.034659518361091615,0.92
97,0.04639535164833069,0.03936189217865467,0.0010431674579158426,2.8941984739503824e-05,0.0005763462228933349,0.03465144664049149,0.94
98,0.04740710781514645,0.04026374252140522,0.0011164452991215513,3.100823242857587e-05,0.0005761495444457978,0.04213559141755104,0.96
99,0.04249277679622173,0.03616035291552543,0.00072000154806301,1.4536952256094083e-05,0.0005481453015236183,0.036169206947088244,0.98
100,0.04292856374382973,0.0362077746540308,0.0011937008234672248,1.269880867585016e-05,0.0005400100174592808,0.036865074813365935,1.0
101,0.04511761208623648,0.038244645223021505,0.0012319636908359826,1.7850775191618596e-05,0.0005462495313258842,0.04469915238022804,1.0
102,0.04693568980693817,0.037045537635684016,0.003865457503590733,1.8538072115916294e-05,0.0005839313842589035,0.04162522882223129,1.0
103,0.043032604411244395,0.03586664731800556,0.0015122580130118876,1.3566860456194262e-05,0.0005518030459061265,0.03410940352082253,1.0
104,0.04203299769759178,0.03525289366394281,0.001124183782376349,1.1851310286147054e-05,0.0005537407014053315,0.039018161177635194,1.0
105,0.04124418310821056,0.03487752176821232,0.0008028710976941511,9.953104021406034e-06,0.0005464259071741253,0.036820426762104036,1.0
106,0.04266200047731399,0.03567135733366013,0.0013092115452745929,1.3487913838616805e-05,0.000554655235609971,0.035265287905931475,1.0
107,0.040833812013268474,0.03463116119801998,0.0006371755257132463,9.47824011927878e-06,0.000547069271793589,0.03185693436861038,1.0
108,0.043255504533648494,0.03496196211874485,0.002617326419102028,1.0091020280015072e-05,0.0005575305526144803,0.03653165525197983,1.0
109,0.042730467081069944,0.03540141824632883,0.0016662487671710551,1.1554844477359438e-05,0.0005547251604730263,0.03624440401792526,1.0
110,0.04534595613181591,0.037432216256856915,0.0021172159605193884,2.1672510370990494e-05,0.0005579798797843978,0.03206360468268395,1.0
111,0.04080652029812336,0.03454811342060566,0.0006524013566668145,9.064318794116844e-06,0.0005515362361911684,0.033781151324510574,1.0
112,0.042656441107392314,0.035595544919371606,0.001302930680452846,1.2699466738922639e-05,0.0005630970718339085,0.03444555175304413,1.0
113,0.04295699536800385,0.03617017443478107,0.001161008113878779,1.3687403003132203e-05,0.0005488938792841509,0.032621430158615114,1.0
114,0.04065485209226608,0.03396432009339333,0.0011033855057321488,8.051528178839362e-06,0.0005506631274474785,0.03356367075443268,1.0
115,0.043034496828913686,0.036119630470871925,0.0012018767669796943,1.3448703517497051e-05,0.000557850262382999,0.030780917674303056,1.0
116,0.040958946764469144,0.03499907301366329,0.0003908951859921217,1.0337671032175422e-05,0.0005465602042386309,0.03513633048534393,1.0
117,0.04166563323140144,0.03560534496605396,0.000486452046316117,1.289676537635387e-05,0.0005444868584163487,0.03808759748935699,1.0
118,0.04191158168017864,0.03541663844138384,0.0008822411124128849,1.138466793054249e-05,0.0005498855583136902,0.033189741790294644,1.0
119,0.04219557558000088,0.03576502849161625,0.0008747075831051916,1.2720878670734237e-05,0.0005428630752721802,0.03267476415634155,1.0
120,0.042402756825089455,0.035676313012838363,0.0010813201860291883,1.3473209823132493e-05,0.0005510391665156931,0.05072005832195282,1.0
121,0.04280920530855656,0.03532387562096119,0.0015625361789716407,1.398616365804628e-05,0.0005782931779976934,0.0328904584646225,1.0
122,0.041991578206419945,0.035774847716093065,0.0006480812097433954,1.2226125996676274e-05,0.000544638806139119,0.033375255703926084,1.0
123,0.04034070481359959,0.034300579071044925,0.00042956304224208,8.447953614449944e-06,0.0005526083116419614,0.03163329991698265,1.0
124,0.04106287889182567,0.03450663147866726,0.0009601940978318453,9.665462201155605e-06,0.0005499398852698505,0.03251108926534653,1.0
125,0.04058790488541126,0.0335488054305315,0.001305642821942456,7.636579535756027e-06,0.0005657090917229652,0.03152536383271217,1.0
126,0.043095193296670914,0.036505907326936725,0.0008597850749501959,1.5564536850433796e-05,0.0005573855626862496,0.032585759818553925,1.0
127,0.04540160281956196,0.03699983821809292,0.002006533365580253,2.195626792672556e-05,0.0006175668623764068,0.03691413617134094,1.0
128,0.041092459514737126,0.03469189094007015,0.0008537010849686339,9.346037986688315e-06,0.0005453407084569335,0.032583724766969684,1.0
129,0.04166279059648514,0.03546634557843208,0.0005903400556417182,1.1265662713412894e-05,0.0005493448287015781,0.03667301806807518,1.0
130,0.04242137703299522,0.035685432955622674,0.0011736379935173317,1.1241855681873857e-05,0.0005449887563008815,0.032137953221797945,1.0
131,0.0404997937977314,0.034264137759804726,0.0007200672290055081,8.412927163590212e-06,0.0005431459350511432,0.032720094084739686,1.0
132,0.04030828948318958,0.03360980586707592,0.0011138311821268872,7.4277907133364355e-06,0.0005510374461300671,0.03211547577381134,1.0
133,0.04079985663294792,0.034776714347302916,0.0004304671428981237,9.462764657655498e-06,0.0005498047637520358,0.04136658972501755,1.0
134,0.043894970387220386,0.03673215119540691,0.0012355720654595643,1.9560777114747907e-05,0.0005731639133300632,0.03553874784708023,1.0
135,0.042437791556119916,0.0361455002874136,0.0006950690038502217,1.3182249887904618e-05,0.0005465399664826691,0.035242920011281965,1.0
136,0.041521994754672054,0.035242863178253175,0.0007235334711149335,1.0450215191667667e-05,0.0005451095736352726,0.033062080025672916,1.0
137,0.03938456220924854,0.03356445050239563,0.0003643982944195159,7.102852501702728e-06,0.0005384684831369668,0.031898595094680786,1.0
138,0.040233328253030776,0.03411122146248818,0.0005234401369234547,8.597698555604438e-06,0.0005512689754832536,0.031762701749801635,1.0
139,0.04020613962411881,0.034003678403794764,0.0006055212283972651,7.84623474100954e-06,0.0005518477695295587,0.0371238871216774,1.0
140,0.042646282449364664,0.0343762312233448,0.0025318494499661027,1.0926456427114318e-05,0.0005628936970606446,0.032005272328853605,1.0
141,0.03979718689620495,0.033429579466581344,0.0006890605304506607,7.189123479292903e-06,0.0005606655583251268,0.03167501994967461,1.0
