epoch,train_loss,val_loss
1,0.07100909627974034,0.020738612860441208
2,0.020109024956822395,0.019813787192106247
3,0.019274288594722747,0.01900755986571312
4,0.01850827690958977,0.01829477772116661
5,0.017028124496340752,0.017039954662322998
6,0.015355032071471214,0.014847375452518463
7,0.013964245684444904,0.013093272224068642
8,0.012575058594346046,0.011845984496176243
9,0.011884463287889958,0.012503507547080517
10,0.011584473617374897,0.011791938915848732
11,0.010905871823430061,0.010762962512671947
12,0.0106238127425313,0.010879667475819588
13,0.010648903220891952,0.011701461859047413
14,0.010294763088226319,0.010315277613699436
15,0.010079311855137349,0.010396013036370277
16,0.010062468089163303,0.00954735279083252
17,0.009590591937303543,0.009508132934570312
18,0.009420234758406877,0.009053360670804977
19,0.008996812991797925,0.008269877173006535
20,0.008547006748616696,0.007899011485278606
21,0.008242835607379675,0.007995485328137875
22,0.008139592532068491,0.007650855462998152
23,0.007679684791713953,0.008009228855371475
24,0.007645491342991591,0.007015498820692301
25,0.007465417925268412,0.007346908561885357
26,0.007460712771862745,0.006687667686492205
27,0.006937738332897425,0.006698051933199167
28,0.007067248526960611,0.006507882382720709
29,0.006724336639046669,0.006306344177573919
30,0.006696728445589543,0.006679621059447527
31,0.0068102385699748995,0.006012296304106712
32,0.006414181664586067,0.006113408133387566
33,0.006153749480843544,0.006161442957818508
34,0.006392394268885255,0.005875774193555117
35,0.006110179882496595,0.006063554901629686
36,0.00616353270970285,0.0055202823132276535
37,0.005791654195636511,0.005301758646965027
38,0.006011499688029289,0.005249835550785065
39,0.005885974796488881,0.005805686116218567
40,0.0057114144023507835,0.006013557780534029
41,0.00530614080838859,0.004971131682395935
42,0.005302215388044715,0.005190305411815643
43,0.005356312934309244,0.006280984729528427
44,0.005180363185703755,0.004565628711134195
45,0.0051158168613910674,0.005564897786825895
46,0.004885263038799167,0.006180141121149063
47,0.005465324815362692,0.0049768416211009026
48,0.004595087656751275,0.004332618787884712
49,0.004752748489379883,0.004029956646263599
50,0.004565104257315398,0.004193926230072975
51,0.004849383931607008,0.006443297490477562
52,0.004807519387453794,0.004319530446082354
53,0.004558818720281124,0.004673303570598364
54,0.004621393276378513,0.00388128194026649
55,0.004349895875900984,0.0038260226137936115
56,0.0045763231981545685,0.0042573497630655766
57,0.004406473821029067,0.005611254833638668
58,0.004439343214035035,0.0040541705675423145
59,0.004158384496346116,0.004425110295414925
60,0.004036839030683041,0.0036461499985307455
